ID;SR;PD.obs;PD.SES;PD.Pvalue;FD.obs;FD.SES;FD.Pvalue;PE.obs;PE.SES;PE.Pvalue;Protegido;Clima;Ecorregion;Climate;Ecoregion;PP_MM;TMED;ALT_MIN;ALT_MAX;long;lat;codregion
22729;12;3.629449361;-0.394865769;0.355;2.853614745;0.143476254;0.5305;0.007311608;-0.865404943;0.837837838;0;2;5;Templado;Bosque_Valdiviano;2100;9.5;200;2000;-72.579986;-40.132546;14
22730;11;3.548780221;-0.098822847;0.4465;2.494448394;-0.175071548;0.455;0.006819873;-0.609207023;0.693693694;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-40.382546;14
22731;11;3.548780221;-0.03451946;0.476;2.494448394;-0.25831389;0.4175;0.006819873;-0.609207023;0.693693694;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-40.632546;10
22732;10;3.142249141;-0.306377831;0.364;2.121716869;-0.493839943;0.344;0.004591704;-0.602056816;0.700700701;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-40.882546;10
22733;11;3.183005621;-0.451858154;0.3125;2.134672824;-0.688713343;0.2775;0.005630788;-1.000999802;0.91991992;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-41.132546;10
22734;9;2.988519511;-0.203376264;0.3765;2.110160961;-0.333975589;0.399;0.004173058;-0.558999625;0.690690691;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-41.382546;10
22735;9;2.988519511;-0.22893533;0.3965;2.110160961;-0.372323551;0.373;0.004173058;-0.558999625;0.690690691;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-41.632546;10
22736;10;3.029275991;-0.408195893;0.3245;2.123116916;-0.604739711;0.318;0.005212141;-0.986140912;0.90990991;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-41.882546;10
22737;10;3.029275991;-0.412099352;0.32;2.123116916;-0.597488727;0.306;0.005212141;-0.986140912;0.90990991;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-42.132546;10
22738;8;2.897977211;-0.074558823;0.439;1.913161933;-0.405706346;0.358;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-42.382546;10
22739;9;2.988519511;-0.243293762;0.382;2.110160961;-0.354608309;0.38;0.004173058;-0.558999625;0.690690691;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-42.632546;10
22740;9;2.988519511;-0.178892157;0.409;2.110160961;-0.302808106;0.401;0.004173058;-0.558999625;0.690690691;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-42.882546;10
22741;8;2.897977211;-0.036974028;0.4675;1.913161933;-0.412126447;0.349;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-43.132546;10
22742;8;2.897977211;-0.070587207;0.4265;1.913161933;-0.387789397;0.3735;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-43.382546;10
22743;8;2.897977211;-0.057088584;0.4505;1.913161933;-0.379324322;0.362;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-43.632546;11
22744;8;2.897977211;-0.084646701;0.448;1.913161933;-0.42344101;0.364;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-43.882546;11
22745;8;2.897977211;-0.031573443;0.455;1.913161933;-0.457216386;0.3445;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-44.132546;11
22746;8;2.897977211;-0.126906746;0.41;1.913161933;-0.420316822;0.3515;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-44.382546;11
22747;8;2.897977211;-0.048992082;0.447;1.913161933;-0.374973302;0.3725;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-44.632546;11
22748;9;3.051706841;-0.159470925;0.4175;1.924717841;-0.501939319;0.335;0.004080351;0.12150578;0.442442442;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-44.882546;11
22749;9;3.051706841;-0.180755188;0.415;1.924717841;-0.527714793;0.323;0.004080351;0.12150578;0.442442442;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-45.132546;11
22750;9;3.051706841;-0.150894447;0.421;1.924717841;-0.570135281;0.31;0.004080351;0.12150578;0.442442442;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-45.382546;11
22751;9;3.169358551;-0.216921596;0.4275;2.006068469;-0.375614326;0.3495;0.006182199;1.382481436;0.109109109;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-45.632546;11
22752;9;3.169358551;-0.189253757;0.429;2.006068469;-0.416061673;0.337;0.006182199;1.382481436;0.109109109;1;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.579986;-45.882546;11
22753;11;3.729483121;-0.092612144;0.4765;2.309497643;-0.455046658;0.3345;0.007151599;1.368943109;0.107107107;1;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.579986;-46.132546;11
22754;10;3.497308831;-0.020728664;0.481;2.283884192;-0.256437299;0.3885;0.006678598;1.474593579;0.091091091;0;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.579986;-46.382546;11
22755;10;3.726432561;0.180789355;0.5515;2.717251247;0.343662036;0.598;0.009164499;1.395484539;0.104104104;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.579986;-46.632546;11
